Review,Liked,Processed_Review
The Jamaican mojitos are delicious.,1,jamaican mojito delici
Which are small and not worth the price.,0,small not worth price
- the food is rich so order accordingly.,1,food rich order accordingli
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outsid rins not take full shower unless mind nude everyon see
The service was a bit lacking.,0,servic bit lack
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisqu bussel sprout risotto filet need salt pepper cours none tabl
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hope bode go busi someon cook come
"It was either too cold, not enough flavor or just bad.",0,either cold not enough flavor bad
I loved the bacon wrapped dates.,1,love bacon wrap date
This is an unbelievable BARGAIN!,1,unbeliev bargain
The folks at Otto always make us feel so welcome and special.,1,folk otto alway make us feel welcom special
"""As for the """"mains,"""" also uninspired.""",0,main also uninspir
This is the place where I first had pho and it was amazing!!,1,place first pho amaz
This wonderful experience made this place a must-stop whenever we are in town again.,1,wonder experi made place must stop whenev town
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food bad enough enjoy deal world worst annoy drunk peopl
Very very fun chef.,1,fun chef
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,order doubl cheeseburg got singl patti fall apart pictur upload yeah still suck
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place coupl drink watch sport event wall cover tv
"If it were possible to give them zero stars, they'd have it.",0,possibl give zero star
"""The descriptions said """"yum yum sauce"""" and another said """"eel sauce"""", yet another said """"spicy mayo""""...well NONE of the rolls had sauces on them.""",0,descript said yum yum sauc anoth said eel sauc yet anoth said spici mayo well none roll sauc
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,say would hardest decis honestli dish tast suppos tast amaz
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,not roll eye may stay not sure go back tri
"Everyone is very attentive, providing excellent customer service.",1,everyon attent provid excel custom servic
Horrible - don't waste your time and money.,0,horribl wast time money
Now this dish was quite flavourful.,1,dish quit flavour
By this time our side of the restaurant was almost empty so there was no excuse.,0,time side restaur almost empti excus
"(It wasn't busy either) Also, the building was FREEZING cold.",0,busi either also build freez cold
"""like the other reviewer said """"you couldn't pay me to eat at this place again.""""""",0,like review said pay eat place
-Drinks took close to 30 minutes to come out at one point.,0,drink took close minut come one point
"Seriously flavorful delights, folks.",1,serious flavor delight folk
Much better than the other AYCE sushi place I went to in Vegas.,1,much better ayc sushi place went vega
The lighting is just dark enough to set the mood.,1,light dark enough set mood
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,base sub par servic receiv effort show gratitud busi go back
Owner's are really great people.!,1,owner realli great peopl
There is nothing privileged about working/eating there.,0,noth privileg work eat
The Greek dressing was very creamy and flavorful.,1,greek dress creami flavor
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overal think would take parent place made similar complaint silent felt
Now the pizza itself was good the peanut sauce was very tasty.,1,pizza good peanut sauc tasti
We had 7 at our table and the service was pretty fast.,1,tabl servic pretti fast
Fantastic service here.,1,fantast servic
I as well would've given godfathers zero stars if possible.,0,well would given godfath zero star possibl
They know how to make them here.,1,know make
very tough and very short on flavor!,0,tough short flavor
I hope this place sticks around.,1,hope place stick around
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,bar vega not ever recal charg tap water
The restaurant atmosphere was exquisite.,1,restaur atmospher exquisit
"Good service, very clean, and inexpensive, to boot!",1,good servic clean inexpens boot
The seafood was fresh and generous in portion.,1,seafood fresh gener portion
"Plus, it's only 8 bucks.",1,plu buck
"The service was not up to par, either.",0,servic not par either
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thu far visit twice food absolut delici time
Just as good as when I had it more than a year ago!,1,good year ago
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,self proclaim coffe cafe wildli disappoint
The Veggitarian platter is out of this world!,1,veggitarian platter world
You cant go wrong with any of the food here.,1,cant go wrong food
You can't beat that.,1,beat
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stop place madison ironman friendli kind staff
The chefs were friendly and did a good job.,1,chef friendli good job
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,better not dedic boba tea spot even jenni pho
I liked the patio and the service was outstanding.,1,like patio servic outstand
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco skimp meat wow flavor
I think not again,0,think not
I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad pretti bland not get
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,went bachi burger friend recommend not disappoint
Service stinks here!,0,servic stink
I waited and waited.,0,wait wait
"This place is not quality sushi, it is not a quality restaurant.",0,place not qualiti sushi not qualiti restaur
I would definitely recommend the wings as well as the pizza.,1,would definit recommend wing well pizza
Great Pizza and Salads!,1,great pizza salad
Things that went wrong: - They burned the saganaki.,0,thing went wrong burn saganaki
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,wait hour breakfast could done time better home
This place is amazing!,1,place amaz
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,hate disagre fellow yelper husband disappoint place
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,wait hour never got either pizza mani around us came later
Just don't know why they were so slow.,0,know slow
"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish incred beer select
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,live neighborhood disappoint back conveni locat
I didn't know pulled pork could be soooo delicious.,1,know pull pork could soooo delici
"You get incredibly fresh fish, prepared with care.",1,get incred fresh fish prepar care
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,go gave star rate pleas know third time eat bachi burger write review
I love the fact that everything on their menu is worth it.,1,love fact everyth menu worth
Never again will I be dining at this place!,0,never dine place
The food was excellent and service was very good.,1,food excel servic good
Good beer & drink selection and good food selection.,1,good beer drink select good food select
Please stay away from the shrimp stir fried noodles.,0,pleas stay away shrimp stir fri noodl
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,potato chip order sad could probabl count mani chip box probabl around
Food was really boring.,0,food realli bore
Good Service-check!,1,good servic check
This greedy corporation will NEVER see another dime from me!,0,greedi corpor never see anoth dime
"Will never, ever go back.",0,never ever go back
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,much like go back get pass atroci servic never return
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,summer dine charm outdoor patio delight
I did not expect this to be so good!,1,not expect good
Fantastic food!,1,fantast food
She ordered a toasted English muffin that came out untoasted.,0,order toast english muffin came untoast
The food was very good.,1,food good
Never going back.,0,never go back
"Great food for the price, which is very high quality and house made.",1,great food price high qualiti hous made
The bus boy on the other hand was so rude.,0,bu boy hand rude
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,point friend basic figur place joke mind make publicli loudli known
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good bbq lighter fare reason price tell public back old way
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,consid two us left full happi go wrong
All the bread is made in-house!,1,bread made hous
The only downside is the service.,0,downsid servic
"Also, the fries are without a doubt the worst fries I've ever had.",0,also fri without doubt worst fri ever
Service was exceptional and food was a good as all the reviews.,1,servic except food good review
"A couple of months later, I returned and had an amazing meal.",1,coupl month later return amaz meal
Favorite place in town for shawarrrrrrma!!!!!!,1,favorit place town shawarrrrrrma
The black eyed peas and sweet potatoes... UNREAL!,1,black eye pea sweet potato unreal
You won't be disappointed.,1,disappoint
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,could serv vinaigrett may make better overal dish still good
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,go far mani place never seen restaur serv egg breakfast especi
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,mom got home immedi got sick bite salad
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,server not pleasant deal alway honor pizza hut coupon
"Both of them were truly unbelievably good, and I am so glad we went back.",1,truli unbeliev good glad went back
"We had fantastic service, and were pleased by the atmosphere.",1,fantast servic pleas atmospher
Everything was gross.,0,everyth gross
I love this place.,1,love place
Great service and food.,1,great servic food
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first bathroom locat dirti seat cover not replenish plain yucki
"""The burger... I got the """"Gold Standard"""" a $17 burger and was kind of disappointed.""",0,burger got gold standard burger kind disappoint
"OMG, the food was delicioso!",1,omg food delicioso
There is nothing authentic about this place.,0,noth authent place
the spaghetti is nothing special whatsoever.,0,spaghetti noth special whatsoev
"Of all the dishes, the salmon was the best, but all were great.",1,dish salmon best great
The vegetables are so fresh and the sauce feels like authentic Thai.,1,veget fresh sauc feel like authent thai
It's worth driving up from Tucson!,1,worth drive tucson
The selection was probably the worst I've seen in Vegas.....there was none.,0,select probabl worst seen vega none
Pretty good beer selection too.,1,pretti good beer select
"This place is like Chipotle, but BETTER.",1,place like chipotl better
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1,classi warm atmospher fun fresh appet succul steak basebal steak
5 stars for the brick oven bread app!,1,star brick oven bread app
"I have eaten here multiple times, and each time the food was delicious.",1,eaten multipl time time food delici
We sat another ten minutes and finally gave up and left.,0,sat anoth ten minut final gave left
He was terrible!,0,terribl
Everyone is treated equally special.,1,everyon treat equal special
It shouldn't take 30 min for pancakes and eggs.,0,take min pancak egg
It was delicious!!!,1,delici
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1,good side staff genuin pleasant enthusiast real treat
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0,sadli gordon ramsey steak place shall sharpli avoid next trip vega
As always the evening was wonderful and the food delicious!,1,alway even wonder food delici
Best fish I've ever had in my life!,1,best fish ever life
(The bathroom is just next door and very nice.),1,bathroom next door nice
The buffet is small and all the food they offered was BLAND.,0,buffet small food offer bland
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1,outstand littl restaur best food ever tast
Pretty cool I would say.,1,pretti cool would say
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0,definit turn doubt back unless someon els buy
Server did a great job handling our large rowdy table.,1,server great job handl larg rowdi tabl
"I find wasting food to be despicable, but this just wasn't food.",0,find wast food despic food
My wife had the Lobster Bisque soup which was lukewarm.,0,wife lobster bisqu soup lukewarm
Would come back again if I had a sushi craving while in Vegas.,1,would come back sushi crave vega
"The staff are great, the ambiance is great.",1,staff great ambianc great
He deserves 5 stars.,1,deserv star
I left with a stomach ache and felt sick the rest of the day.,0,left stomach ach felt sick rest day
They dropped more than the ball.,0,drop ball
"The dining space is tiny, but elegantly decorated and comfortable.",1,dine space tini elegantli decor comfort
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1,custom order way like usual eggplant green bean stir fri love
And the beans and rice were mediocre at best.,0,bean rice mediocr best
Best tacos in town by far!!,1,best taco town far
I took back my money and got outta there.,0,took back money got outta
"In an interesting part of town, this place is amazing.",1,interest part town place amaz
RUDE & INCONSIDERATE MANAGEMENT.,0,rude inconsider manag
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0,staff not friendli wait time serv horribl one even say hi first minut
I won't be back.,0,back
They have great dinners.,1,great dinner
The service was outshining & I definitely recommend the Halibut.,1,servic outshin definit recommend halibut
The food was terrible.,0,food terribl
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0,never ever go back told mani peopl happen
I don't recommend unless your car breaks down in front of it and you are starving.,0,recommend unless car break front starv
I will come back here every time I'm in Vegas.,1,come back everi time vega
This place deserves one star and 90% has to do with the food.,0,place deserv one star food
This is a disgrace.,0,disgrac
Def coming back to bowl next time,1,def come back bowl next time
"If you want healthy authentic or ethic food, try this place.",1,want healthi authent ethic food tri place
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1,continu come ladi night andddd date night highli recommend place anyon area
"I have been here several times in the past, and the experience has always been great.",1,sever time past experi alway great
We walked away stuffed and happy about our first Vegas buffet experience.,1,walk away stuf happi first vega buffet experi
